Sentence	Top-1 Similar	Top-2 Similar	Top-3 Similar	Top-4 Similar	Top-5 Similar	Top-1 Similarity	Top-2 Similarity	Top-3 Similarity	Top-4 Similarity	Top-5 Similarity
und es wird auch wieder schneien oberhalb von dreihundert metern meist so am nachmittag kräftig vom saarland bis nach berlin hoch	ab sonntag wird es wieder milder dabei gibt es viele wolken zeitweise fällt regen im nordwesten windig	am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt	im südosten ist es heute nacht trocken sonst regnet es zeitweise in der nordhälfte teilweise kräftig	gewitterschauer örtlich mit hagel starkregen und sturmböen ziehen in der nacht ostwärts im norden regnet es länger	heute nacht ist es meist nur locker bewölkt oder klar im nordwesten gibt es auch mal ein paar dichtere wolken	0.87922806	0.8743656	0.8662349	0.8656254	0.86336756
und nun die wettervorhersage für morgen mittwoch den neunzehnten januar	und nun die wettervorhersage für morgen mittwoch den zwölften januar	und nun die wettervorhersage für morgen mittwoch den siebenundzwanzigsten januar	und nun die wettervorhersage für morgen samstag den sechsundzwanzigsten januar	und nun die wettervorhersage für morgen montag den fünfundzwanzigsten januar	und nun die wettervorhersage für morgen dienstag den fünften januar	0.98935455	0.98368734	0.97800434	0.97796136	0.97624743
die sonne kann sich gegen die wolken nur selten durchsetzen	auch im westen gibt es später wolkenlücken	am sonntag vor allem in der südosthälfte gewitterschauer sonst setzt sich wieder meist die sonne durch	ganz im süden sind einzelne schauer möglich	in der mitte lockert es auch mal auf	ab und zu kann sich die sonne zeigen	0.8451733	0.8415799	0.8392618	0.8370613	0.83356625
auch im süden gibt es eine menge wolken oder nebel aber regen fällt dort nur selten	mehr wolken als sonne gibt es im norden und osten tropfen fallen nur vereinzelt	das gilt auch für den abend aber im laufe der nacht werden schauer und gewitter in der südosthälfte immer seltener	am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt	am donnerstag regnet es vor allem im süden und osten mancherorts	der hält sich morgen in manchen regionen zäh auch dichtere wolken sind zunächst noch dabei aber es bleibt weitgehend trocken	0.88783854	0.87183845	0.8665345	0.8570515	0.8525374
richtung bodensee kann es bis ins flachland schneien	besonders im osten deutschlands kann es ein wenig regnen oder schneien	am tag dichte wolken aber auch lücken dazu einige schauer an den nordwestseiten der gebirge kann es auch längere zeit regnen oder schneien	im norden sowie ganz im westen schneit es auch mal stärker und es kann glatt werden	in den alpen wird es dann sogar schneien	am sonntag gibt es viele wolken gebietsweise regen oder schneeregen im bergland schnee	0.9099248	0.8792427	0.872912	0.8652085	0.85254246
im äußersten südosten sowie zwischen nordsee und mosel ist es meist trocken	westlich des rheins und im nordosten bleibt es meist trocken	vom südwesten bis in die mitte bleibt es meist trocken	in der nordwesthälfte teils freundlich teils wolkig und meist trocken	später ist es meist trocken	im nordosten bleibt es meist trocken	0.93674123	0.91518235	0.90693474	0.9026604	0.8976779
aber erst muss noch mit regenfällen und gewittern gerechnet werden die besonders im süden und osten unwetterartig sein können	am sonntag wird es wieder unbeständiger mit einzelnen schauern und gewittern die örtlich heftig sein können	in der nacht muss vor allem in der nordwesthälfte mit schauern und gewittern gerechnet werden die heftig ausfallen können	dabei kommt es zu heftigen schauern und gewittern die teilweise unwetterartig sein können	vor allem im süden können die gewitter unwetterartig ausfallen	vielerorts gibt es schauer und gewitter die heftig ausfallen können	0.92863137	0.92449415	0.9041207	0.90188015	0.89407015
der deutsche wetterdienst hat entsprechende warnungen herausgegeben	der deutsche wetterdienst hat entsprechende unwetterwarnungen herausgegeben	der deutsche wetterdienst hat entsprechende unwetterwarnungen herausgegeben	es gelten entsprechende warnungen des deutschen wetterdienstes	für teile südbayerns gelten warnungen des deutschen wetterdienstes da in der nacht dort wie auch im süden sich hier und da gewitter entladen	es gelten entsprechende unwetterwarnungen des deutschen wetterdienstes	0.8864278	0.8864278	0.8560228	0.8178417	0.8037403
heute nacht temperaturen von zehn grad in der eifel bis achtzehn in der lausitz	morgen temperaturen von achtzehn grad an der küste bis sechsundzwanzig im breisgau	morgen temperaturen von fünfzehn grad an der nordsee bis vierundzwanzig am rhein	heute nacht werte zwischen vierzehn grad an der see und vier grad an den alpen	heute nacht liegen die werte zwischen vierzehn und sieben grad	dort morgen sechs grad sonst temperaturen zwischen minus ein und plus fünf grad	0.94257873	0.93025917	0.91991615	0.9195156	0.91567004
richtung südwesten und nordosten lässt sich die sonne auch mal blicken	montag und dienstag wechselhaft hier und da zeigt sich aber auch die sonne	ab und zu kann sich die sonne zeigen	morgen scheint verbreitet die sonne hier und da tauchen auch mal ein paar dichtere wolken auf	richtung osten zeigt sich die sonne häufiger	dreh und angelpunkt ist nämlich dieses tiefdruckgebiet über dem nordatlantik es schickt uns den regen letztendlich erst einmal nach norddeutschland aber dann heute nacht mehr und mehr in die mitte	0.89101017	0.8886782	0.88821286	0.88198626	0.8791257
und nun die wettervorhersage für morgen donnerstag den einunddreißigsten märz	und nun die wettervorhersage für morgen samstag den einunddreißigsten oktober	und nun die wettervorhersage für morgen samstag den sechsundzwanzigsten januar	und nun die wettervorhersage für morgen mittwoch den dreißigsten märz	und nun die wettervorhersage für morgen donnerstag den siebenundzwanzigsten august	und nun die wettervorhersage für morgen montag den fünfundzwanzigsten januar	0.972064	0.97025514	0.9680286	0.96673644	0.96449697
am tag zwölf grad an der ostsee und bis zwanzig grad in niederbayern	am tag zehn grad an der nordfriesischen küste zwanzig grad in niederbayern	am tag sechzehn grad an der ostsee und bis zu siebenundzwanzig grad am oberrhein	am tag elf grad im vogtland und einundzwanzig grad am oberrhein	am tag sechs grad an den alpen und dreizehn grad am oberrhein	am tag vier grad im sauerland und zwölf grad im breisgau	0.963867	0.9495636	0.9463702	0.945269	0.9385056
auch am montag mehr wolken als sonne teilweise regnet es länger und kräftig auch gewitter sind dabei	am mittwoch breiten sich von nordwesten neue wolken mit regen oder schauern aus örtlich sind auch gewitter dabei	ab sonntag wird es wieder milder dabei gibt es viele wolken zeitweise fällt regen im nordwesten windig	morgen vielerorts schauer vor allem im süden und osten noch einige gewitter mitunter regnet es kräftig auch unwetter sind weiter möglich	am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt	im verlauf kommt im norden und nordwesten teilweise kräftiger regen auf einzelne gewitter sind dabei	0.906217	0.90172076	0.8913275	0.8824172	0.87975997
dazwischen ist es freundlicher	am nachmittag wird es dann freundlicher	im westen ist es freundlich	sonst ist es recht freundlich	am mittwoch in der nordhälfte regenschauer richtung süden ist es freundlicher	von süden wird es tag für tag freundlicher	0.90588677	0.90128654	0.88477546	0.8763101	0.87165403
abseits der gewittern weht der wind schwach bis mäßig an der küste frisch	morgen vormittag an der ostsee noch starke böen sonst weht der wind schwach bis mäßig aus ost bis südost	der wind weht schwach bis mäßig am meer auch frisch	in der südhälfte weht der wind schwach sonst schwach bis mäßig richtung küsten frisch und stark böig	dort im süden weht der wind meist nur schwach richtung norden mäßiger zeitweise auch frischer wind an den küsten starke bis stürmische böen	im norden mäßiger wind an den küsten weht er teilweise frisch	0.91130596	0.9041425	0.90371215	0.89226097	0.8917672
samstag und sonntag ändert sich an diesem wetter noch wenig	sonntag und montag ändert sich an diesem ungemütlichen und recht kühlen wetter noch wenig	donnerstag und freitag ändert sich wenig an diesem wetter	am freitag beruhigt sich das wetter wieder	an den temperaturen ändert sich wenig	und daran ändert sich auch am mittwoch nichts bei minus neun bis minus ein grad	0.9450218	0.9087724	0.87956923	0.8747037	0.8627324
es kann noch leicht schneien in den nächsten stunden in sachsen oder auch am alpenrand und in bayern	am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt	am sonntag gibt es viele wolken gebietsweise regen oder schneeregen im bergland schnee	örtlich ist gefrierender regen dabei richtung nordosten auch schnee	am montag regnet es vor allem im norden und osten weiter und besonders im osten wird es windig etwas sonne am ehesten im süden	mit der leicht kühleren luft dann bis vierundzwanzig grad in der nordhälfte	0.8475497	0.84315723	0.83806574	0.8373282	0.83579814
es bleibt noch mal kalt am samstag knackig bis höchsttemperaturen minus zehn grad	der donnerstag wird dann richtig krass da erwarten wir unwetter in deutschland und große temperaturunterschiede sechs bis zwanzig grad	wo es heute nacht aufklart ist leichter frost möglich sonst null bis vier grad	temperaturen nur so um die null grad am kältesten im norden bis minus fünf grad	unter wolken heute nacht frostfreie zwei bis acht grad	dazu im westen allerdings etwas milder mit minus vier bis minus sieben grad	0.92055863	0.9165998	0.9149654	0.91330796	0.903153
die schauer und gewitter im norden klingen in der nacht ab an den alpen fallen noch ein paar regentropfen stellenweise bildet sich nebel	heute nacht sind im süden anfangs noch einzelne gewitter möglich sonst fällt nur hier und da regen stellenweise bildet sich nebel	am tag ist es im westen freundlich sonst sonne und dichtere wolken im wechsel hier und da fallen einzelne schauer	am tag scheint verbreitet die sonne im süden und westen bilden sich später gebietsweise quellwolken	der tag beginnt ganz im osten noch freundlich später zeigt sich dann auch im nordwesten häufiger die sonne sonst überwiegen die wolken	regen und schnee lassen an den alpen in der nacht nach im norden und nordosten fallen hier und da schauer sonst ist das klar	0.9228884	0.891654	0.88788825	0.88539815	0.88315606
und nun die wettervorhersage für morgen freitag den fünfundzwanzigsten juni	und nun die wettervorhersage für morgen dienstag den einundzwanzigsten juni	und nun die wettervorhersage für morgen freitag den vierundzwanzigsten juli	und nun die wettervorhersage für morgen freitag den achtundzwanzigsten august	und nun die wettervorhersage für morgen montag den fünfundzwanzigsten januar	und nun die wettervorhersage für morgen samstag den sechsundzwanzigsten januar	0.99139345	0.9778765	0.9698197	0.96860105	0.96448934
am montag ist es meist stark bewölkt hier und da regnet es	am tag ist es im südosten meist stark bewölkt vor allem an den alpen muss mit regen gerechnet werden	am freitag ist es in der nähe der küsten und ganz im süden teilweise stark bewölkt	heute nacht ist es meist stark bewölkt örtlich regnet oder nieselt es etwas	heute nacht gibt es im süden anfangs noch vereinzelte schauer oder gewitter sonst ist es meist klar oder nur locker bewölkt	am tag ist es überwiegend stark bewölkt oder neblig trüb	0.9069266	0.9006826	0.8983768	0.8870512	0.88701665
im bergland zum teil schnee an den alpen auch für längere zeit regen oder schnee	am sonntag gibt es viele wolken gebietsweise regen oder schneeregen im bergland schnee	im osten und süden am dienstag einzelne schauer dabei bis in mittlere lagen schnee sonst teils nebel teils wolken oder sonne	örtlich ist gefrierender regen dabei richtung nordosten auch schnee	am tag in der nordhälfte etwas regen schnee oder gefrierender regen	am sonntag im süden nach nebelauflösung häufig sonnig sonst viele wolken und stellenweise etwas regen	0.8993683	0.89782405	0.89768726	0.8889332	0.8765546
am dienstag wechselhaftes wetter	im süden freundliches wetter	am sonntag überall unbeständiges wetter teilweise kräftige regenfälle teilweise auch gewitter	das tief bei schottland sorgt zusammen mit kühler luft auch morgen für wechselhaftes wetter	es sorgt morgen dort für ruhiges freundliches wetter	das hoch über der nordsee bestimmt morgen im ganzen land das wetter	0.896959	0.8743342	0.87197024	0.8320672	0.82277286
besonders in der südwesthälfte bildet sich nebel richtung nordosten auch wolkenlücken	im westen und nordwesten weitgehend trocken hier und da wolkenlücken örtlich bildet sich nebel	der wind weht meist mäßig im osten und an der see frischer wind mit starken böen in den hochlagen der osthälfte sturmböen	im norden weht der wind schwach bis mäßig aus west bis südwest sonst schwacher wind aus unterschiedlichen richtungen	am tag scheint verbreitet die sonne im süden und westen bilden sich später gebietsweise quellwolken	im verlauf kommt im norden und nordwesten teilweise kräftiger regen auf einzelne gewitter sind dabei	0.89217067	0.882594	0.8779136	0.8771385	0.87655824
am alpenrand gibt es auch morgen noch leichten schneefall	am samstag viel sonnenschein vor allem an alpen und küsten ist es auch mal wolkig	am sonntag gibt es viele wolken gebietsweise regen oder schneeregen im bergland schnee	am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt	regen und schnee lassen an den alpen in der nacht nach im norden und nordosten fallen hier und da schauer sonst ist das klar	und im süden besonders vom bayerischen wald bis zu den alpen gibt es am nachmittag einzelne schauer und gewitter	0.8848371	0.8842685	0.8825926	0.88194823	0.87631536
